,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,k_cluster
7056,7056.0,Elizabeth Hedman,0.7909999999999999,0.197,140984.0,0.042,0.00719,0.103,-27.421,0.0417,180.323,0.115,61.0,7,1,2,5
5391,5391.0,Dan Redfeld,0.7909999999999999,0.197,140984.0,0.042,0.00719,0.103,-27.421,0.0417,180.323,0.115,61.0,7,1,1,5
15661,15661.0,Mark Diamond,0.928,0.45,195758.0,0.189,0.000843,0.104,-11.423,0.0519,66.945,0.227,61.0,8,1,2,5
18534,18534.0,Patrick Watson,0.938,0.3615,279020.0,0.0989,0.2275000000000001,0.107,-16.135,0.0345,126.8505,0.1547,61.0,6,1,4,5
26973,26973.0,Zach Bryan,0.8230000000000002,0.6409999999999999,212526.5,0.16205,0.0,0.109,-14.695,0.05015,94.81,0.2645,61.0,4,1,4,5
4090,4090.0,Charlene Soraia,0.82,0.597,197577.0,0.115,0.000215,0.111,-9.217,0.0334,111.202,0.128,60.0,9,1,2,5
9192,9192.0,Grant Gustin,0.895,0.328,166693.0,0.242,0.0,0.146,-9.923,0.0455,77.02600000000002,0.258,60.0,7,1,2,5
5002,5002.0,Craig Pruess & Ananda,0.993,0.182,1283747.0,0.0755,0.069,0.0824,-18.467,0.0405,135.333,0.0425,60.0,10,1,2,5
3357,3357.0,Bruce Brus,0.862,0.0,168000.0,0.000431,0.977,0.162,-14.105,0.0,0.0,0.0,76.0,0,0,2,4
26175,26175.0,WYS,0.802,0.7170000000000001,195136.0,0.193,0.893,0.0653,-16.141,0.0459,109.992,0.0447,75.0,9,0,2,4
17813,17813.0,Ocean Sounds Collection,0.813,0.127,96872.0,0.941,0.988,0.17800000000000002,-16.083,0.0509,82.14399999999998,1e-05,72.0,1,0,1,4
22499,22499.0,Stereo Outdoor Sampling,0.125,0.166,120083.0,0.00133,0.846,0.233,-23.291,0.215,119.669,0.0218,71.0,0,0,2,4
4988,4988.0,Crafting Audio,0.937,0.107,162407.0,0.236,0.0138,0.111,-26.609,0.0579,80.628,0.00228,71.0,11,0,2,4
446,446.0,Agatha Lee Monn,0.85,0.306,206507.0,0.121,0.000176,0.257,-15.550999999999998,0.0554,174.053,0.166,70.0,0,0,1,4
7824,7824.0,Finding Hope,0.563,0.55,201951.0,0.147,0.00102,0.28600000000000003,-18.675,0.0404,81.991,0.0346,70.0,0,0,2,4
17668,17668.0,Noisestorm,0.206,0.768,161280.0,0.933,0.915,0.0833,-2.95,0.0385,124.996,0.245,70.0,2,0,2,4
12796,12796.0,Katie Lopez,0.85,0.306,206507.0,0.121,0.000176,0.257,-15.550999999999998,0.0554,174.053,0.166,70.0,0,0,2,4
142,142.0,90sFlav,0.952,0.748,126250.0,0.265,0.917,0.0866,-12.074000000000002,0.229,77.009,0.14,70.0,8,0,2,4
14419,14419.0,Lori Dulac,0.977,0.12,191000.0,0.018000000000000002,0.863,0.119,-30.88300000000001,0.0357,68.249,0.0924,69.0,2,0,2,4
2542,2542.0,Big Sounds,0.184,0.152,205172.0,0.969,0.915,0.598,-20.294,0.0804,134.531,0.0128,69.0,0,0,2,4
14004,14004.0,Levi Stills,0.996,0.625,122705.0,0.008440000000000001,0.959,0.108,-23.823,0.0801,131.543,0.5710000000000001,69.0,0,0,2,4
14325,14325.0,Llusion,0.8590000000000001,0.773,110250.0,0.403,0.944,0.1,-11.617,0.0449,80.003,0.537,69.0,8,0,2,4
27175,27175.0,itssvd,0.48,0.753,120547.0,0.355,0.865,0.122,-13.295,0.0898,111.863,0.506,69.0,8,0,1,4
7298,7298.0,Eric Badanti,0.993,0.418,161209.0,0.0368,0.944,0.0848,-24.304,0.0499,111.355,0.119,68.0,11,0,2,4
18470,18470.0,Pascal Letoublon,0.13699999999999998,0.726,242016.0,0.78,0.914,0.0985,-6.312,0.0414,119.991,0.0742,68.0,11,0,2,4
8260,8260.0,Fresh Water Sounds,0.41124,0.0635,95162.0,0.470626,0.9325,0.4920000000000001,-16.914499999999997,0.02545,41.07199999999999,5e-06,68.0,9,0,2,4
19572,19572.0,Rain Hard,0.158,0.168,204750.0,0.998,0.903,0.949,-21.382,0.0566,123.148,1e-05,68.0,3,0,2,4
12852,12852.0,Keira Conlon,0.994,0.232,153500.0,0.00449,0.852,0.0705,-34.69,0.0375,73.35600000000002,0.0988,68.0,1,0,2,4
1941,1941.0,Baby Sleep,0.0008269999999999999,0.21600000000000005,157361.0,0.203,0.000466,0.133,-26.57,0.153,132.84,0.039,68.0,0,0,2,4
6496,6496.0,Dream Shard,0.9785,0.222,141306.5,0.6435,0.7115,0.109,-32.0435,0.06684999999999999,130.92999999999998,0.016235,68.0,10,0,4,4
4308,4308.0,Chill Bees,0.1265,0.1035,176467.0,0.7335,0.9945,0.7224999999999999,-14.755,0.0245,44.5945,0.001575,68.0,3,0,4,4
19583,19583.0,Rain Sounds For Sleep,0.1855,0.1333,130063.5,0.83,0.968,0.7705000000000001,-28.2775,0.08,82.46150000000002,0.01289,67.5,2,0,4,4
